n,W,V,instance,strategy,max_value,time,memory_kb
4,80,80,0,BT,189.0,1.26e-06,4148.0
4,80,80,0,BB,189.0,2.023e-05,4000.0
4,80,80,0,DP,189.0,7.0741e-05,4188.0
4,80,80,1,BT,125.0,1.232e-06,4148.0
4,80,80,1,BB,125.0,2.64e-06,4044.0
4,80,80,1,DP,125.0,6.0006e-05,4184.0
4,80,80,2,BT,194.0,1.279e-06,4044.0
4,80,80,2,BB,194.0,2.485e-06,4064.0
4,80,80,2,DP,194.0,0.000172591,4164.0
4,80,80,3,BT,213.0,1.241e-06,4032.0
4,80,80,3,BB,213.0,2.337e-06,4036.0
4,80,80,3,DP,213.0,6.1566e-05,4172.0
4,80,80,4,BT,137.0,1.544e-06,4088.0
4,80,80,4,BB,137.0,2e-06,4040.0
4,80,80,4,DP,137.0,6.0539e-05,4096.0
4,80,80,5,BT,203.0,1.309e-06,4052.0
4,80,80,5,BB,203.0,2.114e-06,3976.0
4,80,80,5,DP,203.0,0.000244288,4096.0
4,80,80,6,BT,104.0,1.187e-06,4036.0
4,80,80,6,BB,104.0,2.458e-06,3976.0
4,80,80,6,DP,104.0,7.1682e-05,4172.0
4,80,80,7,BT,234.0,1.313e-06,3976.0
4,80,80,7,BB,234.0,2.927e-06,4036.0
4,80,80,7,DP,234.0,6.2886e-05,4188.0
4,80,80,8,BT,193.0,1.085e-06,3996.0
4,80,80,8,BB,193.0,2.334e-06,4040.0
4,80,80,8,DP,193.0,6.585e-05,4180.0
4,80,80,9,BT,139.0,1.229e-06,4088.0
4,80,80,9,BB,139.0,1.932e-06,4092.0
4,80,80,9,DP,139.0,6.1647e-05,4184.0
4,80,80,10,BT,153.0,1.253e-06,3960.0
4,80,80,10,BB,153.0,1.99e-06,3976.0
4,80,80,10,DP,153.0,6.3471e-05,4172.0
4,80,80,11,BT,243.0,1.294e-06,4052.0
4,80,80,11,BB,243.0,2.485e-06,3980.0
4,80,80,11,DP,243.0,6.2072e-05,4096.0
4,80,80,12,BT,182.0,1.334e-06,4052.0
4,80,80,12,BB,182.0,2.243e-06,3980.0
4,80,80,12,DP,182.0,6.2756e-05,4188.0
4,80,80,13,BT,122.0,1.096e-06,4052.0
4,80,80,13,BB,122.0,1.938e-06,3980.0
4,80,80,13,DP,122.0,6.2138e-05,4272.0
4,80,80,14,BT,53.0,1.341e-06,3972.0
4,80,80,14,BB,53.0,2.393e-06,4004.0
4,80,80,14,DP,53.0,6.164e-05,4184.0
4,80,80,15,BT,162.0,1.274e-06,3968.0
4,80,80,15,BB,162.0,2.28e-06,3976.0
4,80,80,15,DP,162.0,6.1859e-05,4096.0
4,80,80,16,BT,189.0,1.303e-06,4060.0
4,80,80,16,BB,189.0,4.622e-06,4148.0
4,80,80,16,DP,189.0,0.000116623,4152.0
4,80,80,17,BT,131.0,1.343e-06,3972.0
4,80,80,17,BB,131.0,2.756e-06,3996.0
4,80,80,17,DP,131.0,6.3114e-05,4168.0
4,80,80,18,BT,208.0,1.216e-06,4144.0
4,80,80,18,BB,208.0,2.521e-06,4036.0
4,80,80,18,DP,208.0,6.3152e-05,4220.0
4,80,80,19,BT,129.0,1.274e-06,4044.0
4,80,80,19,BB,129.0,2.346e-06,4036.0
4,80,80,19,DP,129.0,6.3434e-05,4176.0
4,80,80,20,BT,133.0,1.217e-06,4032.0
4,80,80,20,BB,133.0,1.982e-06,4000.0
4,80,80,20,DP,133.0,6.2593e-05,4160.0
4,80,80,21,BT,209.0,1.267e-06,4048.0
4,80,80,21,BB,209.0,2.582e-06,3980.0
4,80,80,21,DP,209.0,8.0061e-05,4124.0
4,80,80,22,BT,109.0,1.274e-06,4048.0
4,80,80,22,BB,109.0,2.296e-06,4068.0
4,80,80,22,DP,109.0,6.2276e-05,4152.0
4,80,80,23,BT,154.0,1.659e-06,4088.0
4,80,80,23,BB,154.0,2.553e-06,4052.0
4,80,80,23,DP,154.0,6.2916e-05,4100.0
4,80,80,24,BT,95.0,1.243e-06,4060.0
4,80,80,24,BB,95.0,2.535e-06,3980.0
4,80,80,24,DP,95.0,6.3036e-05,4100.0
4,80,80,25,BT,198.0,1.323e-06,4084.0
4,80,80,25,BB,198.0,2.508e-06,4060.0
4,80,80,25,DP,198.0,6.307e-05,4100.0
4,80,80,26,BT,232.0,1.244e-06,3972.0
4,80,80,26,BB,232.0,2.245e-06,4052.0
4,80,80,26,DP,232.0,0.000157135,4268.0
4,80,80,27,BT,188.0,1.307e-06,4060.0
4,80,80,27,BB,188.0,2.662e-06,3968.0
4,80,80,27,DP,188.0,6.4234e-05,4168.0
4,80,80,28,BT,94.0,1.281e-06,4000.0
4,80,80,28,BB,94.0,2.341e-06,3980.0
4,80,80,28,DP,94.0,7.0626e-05,4188.0
4,80,80,29,BT,157.0,1.096e-06,4012.0
4,80,80,29,BB,157.0,2.6e-06,4056.0
4,80,80,29,DP,157.0,6.2398e-05,4116.0
8,160,160,0,BT,390.0,1.4827e-05,4088.0
8,160,160,0,BB,390.0,3.278e-06,4148.0
8,160,160,0,DP,390.0,0.000409055,4368.0
8,160,160,1,BT,318.0,1.4751e-05,4060.0
8,160,160,1,BB,318.0,4.318e-06,3980.0
8,160,160,1,DP,318.0,0.000437715,4440.0
8,160,160,2,BT,477.0,1.4579e-05,3992.0
8,160,160,2,BB,477.0,3.801e-06,4088.0
8,160,160,2,DP,477.0,0.000450004,4324.0
8,160,160,3,BT,340.0,1.2742e-05,4060.0
8,160,160,3,BB,337.0,2.979e-06,4152.0
8,160,160,3,DP,340.0,0.000532089,4296.0
8,160,160,4,BT,399.0,1.5113e-05,4052.0
8,160,160,4,BB,399.0,3.467e-06,3976.0
8,160,160,4,DP,399.0,0.000418235,4360.0
8,160,160,5,BT,351.0,1.431e-05,4044.0
8,160,160,5,BB,351.0,3.258e-06,4056.0
8,160,160,5,DP,351.0,0.000421834,4364.0
8,160,160,6,BT,448.0,1.4777e-05,3972.0
8,160,160,6,BB,448.0,3.994e-06,3976.0
8,160,160,6,DP,448.0,0.000413826,4332.0
8,160,160,7,BT,276.0,1.3425e-05,4060.0
8,160,160,7,BB,276.0,3.677e-06,4064.0
8,160,160,7,DP,276.0,0.000419421,4356.0
8,160,160,8,BT,297.0,1.3409e-05,4028.0
8,160,160,8,BB,297.0,3.668e-06,3976.0
8,160,160,8,DP,297.0,0.000416491,4348.0
8,160,160,9,BT,347.0,1.4531e-05,3972.0
8,160,160,9,BB,347.0,3.418e-06,4056.0
8,160,160,9,DP,347.0,0.000426442,4340.0
8,160,160,10,BT,444.0,1.46e-05,4064.0
8,160,160,10,BB,444.0,3.506e-06,4048.0
8,160,160,10,DP,444.0,0.000420078,4356.0
8,160,160,11,BT,352.0,1.4276e-05,4048.0
8,160,160,11,BB,352.0,3.432e-06,4064.0
8,160,160,11,DP,352.0,0.000420571,4440.0
8,160,160,12,BT,308.0,1.581e-05,3972.0
8,160,160,12,BB,308.0,3.366e-06,4152.0
8,160,160,12,DP,308.0,0.000412266,4432.0
8,160,160,13,BT,196.0,1.3607e-05,3972.0
8,160,160,13,BB,196.0,3.014e-06,4000.0
8,160,160,13,DP,196.0,0.000413609,4364.0
8,160,160,14,BT,410.0,1.5456e-05,4060.0
8,160,160,14,BB,410.0,3.111e-06,3976.0
